FICE,Institution,Discipline,Total SCH,Percentage of SCH
3652,UH,Nursing,4811,0.004155625
11711,UHCL,Liberal Arts,64196,0.335017222
11711,UHCL,Science,29511,0.154007932
11711,UHCL,Fine Arts,7156,0.037344745
11711,UHCL,Teacher Education,18687,0.097521136
11711,UHCL,Agriculture,0,0
11711,UHCL,Engineering,21879,0.114179104
11711,UHCL,Home Economics,513,0.002677174
11711,UHCL,Law,0,0
11711,UHCL,Social Service,1446,0.007546185
11711,UHCL,Library Science,714,0.003726125
11711,UHCL,Veterinary Science,0,0
11711,UHCL,Vocational Training,900,0.004696796
11711,UHCL,Physical Training,0,0
11711,UHCL,Health Services,7725,0.040314163
11711,UHCL,Pharmacy,0,0
11711,UHCL,Business Administration,36380,0.189854921
11711,UHCL,Optometry,0,0
11711,UHCL,Teacher Ed-Practice Teaching,777,0.0040549
11711,UHCL,Technology,1487,0.00776015
11711,UHCL,Nursing,249,0.001299447
12826,UHD,Liberal Arts,140493,0.42947409
12826,UHD,Science,38140,0.116590448
12826,UHD,Fine Arts,10131,0.030969529
12826,UHD,Teacher Education,12279,0.037535766
12826,UHD,Agriculture,0,0
12826,UHD,Engineering,9246,0.028264166
12826,UHD,Home Economics,1095,0.003347314
12826,UHD,Law,0,0
12826,UHD,Social Service,4596,0.014049546
12826,UHD,Library Science,0,0
12826,UHD,Veterinary Science,0,0
12826,UHD,Vocational Training,0,0
12826,UHD,Physical Training,0,0
12826,UHD,Health Services,3873,0.011839402
12826,UHD,Pharmacy,0,0
12826,UHD,Business Administration,101348,0.30981145
12826,UHD,Optometry,0,0
12826,UHD,Teacher Ed-Practice Teaching,1260,0.003851703
12826,UHD,Technology,3686,0.011267761
12826,UHD,Nursing,981,0.002998826
13231,UHV,Liberal Arts,39555,0.389098743
13231,UHV,Science,6392,0.062877491
13231,UHV,Fine Arts,1224,0.012040371
13231,UHV,Teacher Education,12146,0.119479038
13231,UHV,Agriculture,0,0
13231,UHV,Engineering,6003,0.059050935
13231,UHV,Home Economics,1122,0.011037006
13231,UHV,Law,0,0
13231,UHV,Social Service,0,0
13231,UHV,Library Science,0,0
13231,UHV,Veterinary Science,0,0
13231,UHV,Vocational Training,0,0
13231,UHV,Physical Training,0,0
13231,UHV,Health Services,1522,0.014971768
13231,UHV,Pharmacy,0,0
13231,UHV,Business Administration,31965,0.314436641
13231,UHV,Optometry,0,0
13231,UHV,Teacher Ed-Practice Teaching,417,0.004101989
13231,UHV,Technology,372,0.003659328
13231,UHV,Nursing,940,0.00924669
3592,MID,Liberal Arts,49154,0.38690837
3592,MID,Science,17889,0.140810592
3592,MID,Fine Arts,6085,0.047897169
3592,MID,Teacher Education,7859,0.061860945
3592,MID,Agriculture,282,0.002219721
3592,MID,Engineering,3717,0.02925781
3592,MID,Home Economics,489,0.00384909
3592,MID,Law,0,0
3592,MID,Social Service,1547,0.012176979
3592,MID,Library Science,0,0
3592,MID,Veterinary Science,0,0
3592,MID,Vocational Training,177,0.001393229
3592,MID,Physical Training,0,0
3592,MID,Health Services,12865,0.101264926
3592,MID,Pharmacy,0,0
3592,MID,Business Administration,12996,0.102296073
3592,MID,Optometry,0,0
3592,MID,Teacher Ed-Practice Teaching,372,0.002928142
3592,MID,Technology,1406,0.011067119
3592,MID,Nursing,12205,0.096069835
3594,UNT,Liberal Arts,410995,0.413509136
3594,UNT,Science,130690,0.131489456
3594,UNT,Fine Arts,96162,0.096750241
3594,UNT,Teacher Education,34339,0.034549058
3594,UNT,Agriculture,0,0
3594,UNT,Engineering,60199,0.060567249
3594,UNT,Home Economics,4725,0.004753904
3594,UNT,Law,0,0
3594,UNT,Social Service,7491,0.007536824
3594,UNT,Library Science,5830,0.005865663
3594,UNT,Veterinary Science,0,0
3594,UNT,Vocational Training,14,1.41E-05
3594,UNT,Physical Training,0,0
3594,UNT,Health Services,44635,0.044908041
3594,UNT,Pharmacy,0,0
3594,UNT,Business Administration,183611,0.184734184
3594,UNT,Optometry,0,0
3594,UNT,Teacher Ed-Practice Teaching,2490,0.002505232
3594,UNT,Technology,12739,0.012816927
3594,UNT,Nursing,0,0
42421,UNTD,Liberal Arts,40230,0.413323333
42421,UNTD,Science,7507,0.077126976
42421,UNTD,Fine Arts,1448,0.014876763
42421,UNTD,Teacher Education,6804,0.069904349
42421,UNTD,Agriculture,717,0.007366464
42421,UNTD,Engineering,2223,0.022839119
42421,UNTD,Home Economics,2130,0.021883637
42421,UNTD,Law,9691,0.099565409
42421,UNTD,Social Service,90,0.000924661
42421,UNTD,Library Science,0,0
42421,UNTD,Veterinary Science,0,0
42421,UNTD,Vocational Training,0,0
42421,UNTD,Physical Training,0,0
42421,UNTD,Health Services,1587,0.01630485
42421,UNTD,Pharmacy,0,0
42421,UNTD,Business Administration,22974,0.236035055
42421,UNTD,Optometry,0,0
42421,UNTD,Teacher Ed-Practice Teaching,444,0.004561659
42421,UNTD,Technology,1488,0.015287724
42421,UNTD,Nursing,0,0
3624,SFASU,Liberal Arts,102701,0.339049021
